"","k_val","calibration_r2","minimum","maximum","N","rep_n","c_r2_bd","min_bd","max_bd","c_r2_log","min_log","max_log"
"1",0.1,-5.2378553400014,0.0122724656370337,0.997824542451474,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"2",0.2,-3.91451346955238,0.0377168745148609,0.993027741638828,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"3",0.3,-2.63926689539141,0.0512170572209551,0.974868617522127,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"4",0.4,-1.84143189554702,0.085027163472292,0.975072212903626,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"5",0.5,-1.29367868330288,0.120437495449691,0.955779246173818,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"6",0.6,-0.922274409978386,0.134452544401982,0.952310102750038,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"7",0.7,-0.623838117419792,0.146140612289887,0.94156896177497,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"8",0.8,-0.41999008489551,0.152486837457117,0.938009942072741,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"9",0.9,-0.222974635745759,0.170072575831918,0.926161110352055,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"10",1,-0.0966571785466579,0.18682567068105,0.918489298474054,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"11",1.1,0.0386138370798964,0.19164180152957,0.907807197038648,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"12",1.2,0.119516454638956,0.20805680102076,0.899682562110376,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"13",1.3,0.202397181379188,0.220926936234074,0.892629833699512,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"14",1.4,0.257617901355953,0.228003805842027,0.887624846569481,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"15",1.5,0.316977989744293,0.240238124419229,0.877085982375477,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"16",1.6,0.359705616246193,0.251018697407102,0.872061958689853,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"17",1.7,0.400647183975929,0.255955348133911,0.860579030996772,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"18",1.8,0.430561271931268,0.2613879862759,0.854263098227009,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"19",1.9,0.446135213869697,0.27823605123493,0.84800527828887,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"20",2,0.483974066924641,0.291826697661035,0.840040588328232,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"21",2.1,0.487734291230407,0.292125776753816,0.828222380977133,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"22",2.2,0.500736271189474,0.301368358813543,0.821329178252128,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"23",2.3,0.500545719935348,0.309967116309394,0.819253871232394,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"24",2.4,0.522133590730327,0.319464445600469,0.806939645554207,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"25",2.5,0.52062325229956,0.324988669689017,0.803056654784179,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"26",2.6,0.530809514200335,0.332723845199432,0.79061919856017,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"27",2.7,0.527301629307813,0.338478206882604,0.783349079030993,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"28",2.8,0.533877171637712,0.344339897907336,0.779719488832969,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"29",2.9,0.531252311787169,0.349619336060684,0.774848774422712,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"30",3,0.527534688291929,0.356435705928429,0.766692101345591,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"31",3.1,0.53260860524505,0.360901147606443,0.758229665857595,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"32",3.2,0.52206659490172,0.368942313377977,0.754889021852221,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"33",3.3,0.521141422007298,0.374806593712995,0.748758195549636,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"34",3.4,0.517773799956012,0.373919987953059,0.742565338842705,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"35",3.5,0.516614003783194,0.379707386449323,0.734325431864317,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"36",3.6,0.514283157506352,0.388322079495479,0.734159095579158,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"37",3.7,0.506008471756148,0.389210131374954,0.727708932665591,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"38",3.8,0.495958679651521,0.395788489898702,0.718441694455523,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"39",3.9,0.493214544676723,0.39732715407403,0.717878599506913,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"40",4,0.491681163003773,0.403018269956911,0.710367779201216,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"41",4.1,0.477197744913389,0.406722423467835,0.702771107466746,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"42",4.2,0.468221788163119,0.413164572596343,0.703029453562128,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
