"","k_val","calibration_r2","minimum","maximum","N","rep_n","c_r2_bd","min_bd","max_bd","c_r2_log","min_log","max_log","c_r2_log_int","min_log_int","max_log_int","default_diff","log_diff","log_int_diff","default_log_diff","default_log_int_diff"
"1",0.1,-5.99935223303086,0.00644130346741122,0.992361419011701,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-5.79651662071217,-5.46344027166508,-5.41263686815457,0.333076349047094,0.383879752557607
"2",0.2,-4.72588026822883,0.00339719281496683,0.971443951551079,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-4.52304465591015,-4.18996830686305,-4.13916490335254,0.333076349047094,0.383879752557607
"3",0.3,-3.43917995406929,0.0220894806148943,0.958518098007315,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-3.23634434175061,-2.90326799270351,-2.852464589193,0.333076349047094,0.383879752557607
"4",0.4,-2.58580758084847,0.0239446391302303,0.942293110307705,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-2.38297196852979,-2.04989561948269,-1.99909221597218,0.333076349047094,0.383879752557607
"5",0.5,-2.03364194336768,0.0353993577059472,0.92511967966964,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-1.830806331049,-1.4977299820019,-1.44692657849139,0.333076349047094,0.383879752557607
"6",0.6,-1.67304004393295,0.0371115149635761,0.891575235486355,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-1.47020443161427,-1.13712808256717,-1.08632467905666,0.333076349047094,0.383879752557607
"7",0.7,-1.38305573573122,0.0419791153550209,0.884440681528383,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-1.18022012341253,-0.84714377436544,-0.796340370854927,0.333076349047094,0.383879752557607
"8",0.8,-1.17433204353974,0.0527705661126097,0.863088072839339,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.971496431221057,-0.638420082173963,-0.58761667866345,0.333076349047094,0.383879752557607
"9",0.9,-1.00768480451157,0.0597385324941951,0.846271754109938,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.804849192192885,-0.471772843145791,-0.420969439635278,0.333076349047094,0.383879752557607
"10",1,-0.856015724996172,0.0665010716546468,0.831359462102023,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.653180112677488,-0.320103763630394,-0.269300360119881,0.333076349047094,0.383879752557607
"11",1.1,-0.740320712844624,0.0761302914470047,0.816843021649644,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.53748510052594,-0.204408751478846,-0.153605347968333,0.333076349047094,0.383879752557607
"12",1.2,-0.66366487148936,0.0898525852734011,0.796720882577993,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.460829259170676,-0.127752910123582,-0.076949506613069,0.333076349047094,0.383879752557607
"13",1.3,-0.597714855753411,0.0901431370902373,0.789810826698558,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.394879243434727,-0.0618028943876332,-0.0109994908771203,0.333076349047094,0.383879752557607
"14",1.4,-0.543066275361616,0.101648539041617,0.775430823750842,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.340230663042932,-0.0071543139958381,0.0436490895146748,0.333076349047094,0.383879752557607
"15",1.5,-0.505314143786153,0.106241991496385,0.765341675343174,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.302478531467468,0.0305978175796253,0.0814012210901383,0.333076349047094,0.383879752557607
"16",1.6,-0.433109153460526,0.118481252189442,0.760900876822407,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.230273541141841,0.102802807905252,0.153606211415765,0.333076349047094,0.383879752557607
"17",1.7,-0.413967090270061,0.121618101957059,0.752759339350121,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.211131477951377,0.121944871095717,0.17274827460623,0.333076349047094,0.383879752557607
"18",1.8,-0.364057354508444,0.129432124811881,0.750522158793818,100,1,-0.202835612318685,0.456575814895951,0.524105452300831,-0.535911961365778,0.0543951024946417,0.88816166514407,-0.586715364876291,0.0440385787061686,0.934801979797086,-0.161221742189759,0.171854606857334,0.222658010367847,0.333076349047094,0.383879752557607
